label n m comparisons time compsConst timeConst
inA 1000 27 19 0 1.90652 0
ran 1000 28 20 1000 2.00687 100.343
beg 1000 28 17 0 1.70584 0
mid 1000 28 17 0 1.70584 0
end 1000 28 15 0 1.50515 0
not 1000 28 20 0 2.00687 0
inA 1000 28 17 0 1.70584 0
ran 1000 29 20 0 2.00687 0
beg 1000 29 19 0 1.90652 0
mid 1000 29 19 0 1.90652 0
end 1000 29 19 0 1.90652 0
not 1000 29 20 0 2.00687 0
inA 1000 29 15 0 1.50515 0
ran 1000 30 20 0 2.00687 0
beg 1000 30 15 0 1.50515 0
mid 1000 30 15 0 1.50515 0
end 1000 30 15 0 1.50515 0
not 1000 30 20 0 2.00687 0
inA 1000 30 15 0 1.50515 0
ran 1000 31 20 0 2.00687 0
beg 1000 31 17 0 1.70584 0
mid 1000 31 19 0 1.90652 0
end 1000 31 15 0 1.50515 0
not 1000 31 20 1000 2.00687 100.343
inA 1000 31 17 0 1.70584 0
ran 1000 32 19 1000 1.90652 100.343
beg 1000 32 19 0 1.90652 0
mid 1000 32 17 0 1.70584 0
end 1000 32 17 0 1.70584 0
not 1000 32 20 0 2.00687 0
inA 1000 32 17 0 1.70584 0
ran 1000 33 19 0 1.90652 0
beg 1000 33 19 0 1.90652 0
mid 1000 33 17 0 1.70584 0
end 1000 33 17 0 1.70584 0
not 1000 33 20 0 2.00687 0
inA 1000 33 13 0 1.30446 0
ran 1000 34 20 0 2.00687 0
beg 1000 34 19 0 1.90652 0
mid 1000 34 17 0 1.70584 0
end 1000 34 11 0 1.10378 0
not 1000 34 20 1000 2.00687 100.343
inA 1000 34 13 0 1.30446 0
ran 1000 35 20 0 2.00687 0
beg 1000 35 15 0 1.50515 0
mid 1000 35 15 0 1.50515 0
end 1000 35 19 0 1.90652 0
not 1000 35 20 0 2.00687 0
inA 1000 35 19 0 1.90652 0
ran 1000 36 13 0 1.30446 0
beg 1000 36 17 0 1.70584 0
mid 1000 36 5 0 0.501717 0
end 1000 36 15 0 1.50515 0
not 1000 36 20 0 2.00687 0
inA 1000 36 19 0 1.90652 0
ran 1000 37 17 0 1.70584 0
beg 1000 37 13 0 1.30446 0
mid 1000 37 19 0 1.90652 0
end 1000 37 17 0 1.70584 0
not 1000 37 20 0 2.00687 0
inA 1000 37 19 0 1.90652 0
ran 1000 38 20 0 2.00687 0
beg 1000 38 13 0 1.30446 0
mid 1000 38 15 0 1.50515 0
end 1000 38 19 0 1.90652 0
not 1000 38 20 0 2.00687 0
inA 1000 38 17 0 1.70584 0
ran 1000 39 20 0 2.00687 0
beg 1000 39 17 0 1.70584 0
mid 1000 39 17 0 1.70584 0
end 1000 39 19 0 1.90652 0
not 1000 39 20 0 2.00687 0
inA 1000 39 17 0 1.70584 0
ran 1000 40 20 0 2.00687 0
beg 1000 40 17 0 1.70584 0
mid 1000 40 15 0 1.50515 0
end 1000 40 11 0 1.10378 0
not 1000 40 20 0 2.00687 0
inA 1000 40 17 0 1.70584 0
ran 1000 41 20 1000 2.00687 100.343
beg 1000 41 15 0 1.50515 0
mid 1000 41 19 0 1.90652 0
end 1000 41 15 0 1.50515 0
not 1000 41 20 0 2.00687 0
inA 1000 41 19 0 1.90652 0
ran 1000 42 17 1000 1.70584 100.343
beg 1000 42 15 0 1.50515 0
mid 1000 42 19 0 1.90652 0
end 1000 42 19 0 1.90652 0
not 1000 42 20 0 2.00687 0
inA 1000 42 17 0 1.70584 0
ran 1000 43 20 1000 2.00687 100.343
beg 1000 43 9 0 0.90309 0
mid 1000 43 17 0 1.70584 0
end 1000 43 19 0 1.90652 0
not 1000 43 20 0 2.00687 0
inA 1000 43 17 0 1.70584 0
ran 1000 44 17 0 1.70584 0
beg 1000 44 17 0 1.70584 0
mid 1000 44 17 0 1.70584 0
end 1000 44 19 0 1.90652 0
not 1000 44 20 0 2.00687 0
inA 1000 44 19 0 1.90652 0
ran 1000 45 20 0 2.00687 0
beg 1000 45 17 0 1.70584 0
mid 1000 45 19 0 1.90652 0
end 1000 45 17 0 1.70584 0
not 1000 45 20 0 2.00687 0
inA 1000 45 17 0 1.70584 0
ran 1000 46 20 0 2.00687 0
beg 1000 46 19 0 1.90652 0
mid 1000 46 19 0 1.90652 0
end 1000 46 17 0 1.70584 0
not 1000 46 20 1000 2.00687 100.343
inA 1000 46 19 0 1.90652 0
ran 1000 47 17 0 1.70584 0
beg 1000 47 17 1000 1.70584 100.343
mid 1000 47 15 0 1.50515 0
end 1000 47 17 0 1.70584 0
not 1000 47 20 0 2.00687 0
inA 1000 47 9 0 0.90309 0
ran 1000 48 19 0 1.90652 0
beg 1000 48 17 0 1.70584 0
mid 1000 48 13 0 1.30446 0
end 1000 48 17 0 1.70584 0
not 1000 48 20 0 2.00687 0
inA 1000 48 15 0 1.50515 0
ran 1000 49 20 0 2.00687 0
beg 1000 49 17 1000 1.70584 100.343
mid 1000 49 11 0 1.10378 0
end 1000 49 17 0 1.70584 0
not 1000 49 20 0 2.00687 0
inA 1000 49 17 0 1.70584 0
ran 1000 50 19 0 1.90652 0
beg 1000 50 19 0 1.90652 0
mid 1000 50 19 0 1.90652 0
end 1000 50 19 0 1.90652 0
not 1000 50 20 0 2.00687 0
inA 1000 50 19 1000 1.90652 100.343
ran 1000 51 17 0 1.70584 0
beg 1000 51 13 0 1.30446 0
mid 1000 51 19 0 1.90652 0
end 1000 51 19 0 1.90652 0
not 1000 51 20 0 2.00687 0
inA 1000 51 15 0 1.50515 0
ran 1000 52 15 0 1.50515 0
beg 1000 52 15 1000 1.50515 100.343
mid 1000 52 19 0 1.90652 0
end 1000 52 19 0 1.90652 0
not 1000 52 20 0 2.00687 0
inA 1000 52 19 0 1.90652 0
ran 1000 53 17 0 1.70584 0
beg 1000 53 17 0 1.70584 0
mid 1000 53 19 0 1.90652 0
end 1000 53 15 0 1.50515 0
not 1000 53 20 0 2.00687 0
inA 1000 53 15 0 1.50515 0
ran 1000 54 20 0 2.00687 0
beg 1000 54 19 0 1.90652 0
mid 1000 54 17 0 1.70584 0
end 1000 54 3 0 0.30103 0
not 1000 54 18 0 1.80618 0
inA 1000 54 9 0 0.90309 0
ran 1000 55 20 0 2.00687 0
beg 1000 55 17 1000 1.70584 100.343
mid 1000 55 15 0 1.50515 0
end 1000 55 19 0 1.90652 0
not 1000 55 20 0 2.00687 0
inA 1000 55 19 0 1.90652 0
ran 1000 56 17 0 1.70584 0
beg 1000 56 17 0 1.70584 0
mid 1000 56 17 0 1.70584 0
end 1000 56 17 0 1.70584 0
not 1000 56 20 0 2.00687 0
inA 1000 56 13 0 1.30446 0
ran 1000 57 13 0 1.30446 0
beg 1000 57 11 0 1.10378 0
mid 1000 57 19 0 1.90652 0
end 1000 57 19 0 1.90652 0
not 1000 57 20 0 2.00687 0
inA 1000 57 19 0 1.90652 0
ran 1000 58 20 0 2.00687 0
beg 1000 58 11 0 1.10378 0
mid 1000 58 13 0 1.30446 0
end 1000 58 17 0 1.70584 0
not 1000 58 20 0 2.00687 0
inA 1000 58 19 0 1.90652 0
ran 1000 59 18 0 1.80618 0
beg 1000 59 17 0 1.70584 0
mid 1000 59 13 0 1.30446 0
end 1000 59 7 0 0.702403 0
not 1000 59 20 0 2.00687 0
inA 1000 59 17 0 1.70584 0
ran 1000 60 20 0 2.00687 0
beg 1000 60 11 0 1.10378 0
mid 1000 60 15 0 1.50515 0
end 1000 60 11 0 1.10378 0
not 1000 60 20 0 2.00687 0
inA 1000 60 19 0 1.90652 0
ran 1000 61 20 0 2.00687 0
beg 1000 61 11 0 1.10378 0
mid 1000 61 13 1000 1.30446 100.343
end 1000 61 19 0 1.90652 0
not 1000 61 20 0 2.00687 0
inA 1000 61 19 0 1.90652 0
ran 1000 62 20 0 2.00687 0
beg 1000 62 19 0 1.90652 0
mid 1000 62 17 0 1.70584 0
end 1000 62 19 0 1.90652 0
not 1000 62 20 0 2.00687 0
inA 1000 62 19 0 1.90652 0
ran 1000 63 20 0 2.00687 0
beg 1000 63 19 0 1.90652 0
mid 1000 63 11 0 1.10378 0
end 1000 63 17 0 1.70584 0
not 1000 63 20 0 2.00687 0
inA 1000 63 13 1000 1.30446 100.343
ran 1000 64 13 0 1.30446 0
beg 1000 64 17 1000 1.70584 100.343
